gender,height,hand_size,foot_size
0,162.4,168,236
0,165.1,177,225
0,162.8,164,234
0,167.6,177,242
0,157.9,161,220
0,167.8,176,239
0,165.5,170,234
0,170.0,181,242
0,157.1,158,215
0,170.8,177,238
0,152.7,161,220
0,159.2,177,250
0,163.4,168,228
0,152.5,161,220
0,167.4,168,240
0,158.1,167,225
0,154.6,163,215
0,167.9,166,237
0,172.5,181,238
0,163.0,171,230
0,165.3,177,238
0,168.5,165,243
0,156.1,159,217
0,153.3,166,223
0,168.7,171,239
0,158.7,159,218
0,157.3,167,226
0,159.2,167,228
0,158.1,165,230
0,156.5,164,218
0,166.0,173,246
0,163.9,158,225
0,165.9,176,241
0,170.6,169,242
0,154.2,160,219
0,154.7,158,210
0,166.0,169,237
0,159.9,162,230
0,165.3,171,231
0,160.8,167,222
0,158.9,165,222
0,151.4,159,214
0,158.2,166,233
0,165.9,163,230
0,163.0,171,225
0,168.6,170,232
0,166.5,175,231
0,161.5,170,226
0,163.6,182,248
0,159.4,172,235
0,162.4,177,234
0,169.1,172,245
0,163.1,160,216
0,159.9,160,221
0,167.4,174,239
0,159.3,155,221
0,154.4,160,223
0,156.8,162,223
0,163.4,161,230
0,158.0,162,220
0,159.0,173,232
0,161.2,164,227
0,166.3,172,238
0,155.3,170,230
0,161.8,159,224
0,158.5,170,225
0,169.7,178,251
0,157.7,167,227
0,169.2,185,254
0,167.0,170,235
0,168.4,169,230
0,156.1,163,215
0,159.7,164,230
0,160.2,165,239
1,180.9,184,256
1,175.9,181,250
1,170.0,167,247
1,173.1,176,246
1,167.9,184,251
1,166.0,176,234
1,176.8,192,251
1,168.2,168,231
1,172.5,183,255
1,189.5,198,282
1,183.5,197,269
1,178.5,183,261
1,174.8,184,247
1,173.7,189,258
1,177.1,169,249
1,172.1,192,256
1,183.4,197,258
1,174.5,188,264
1,180.2,192,274
1,167.2,166,235
1,182.4,195,267
1,163.7,170,233
1,178.9,195,270
1,171.1,178,249
1,183.2,198,264
1,173.2,184,242
1,178.1,182,260
1,164.7,175,250
1,175.1,192,255
1,179.2,189,253
1,177.7,184,244
1,173.1,180,248
1,169.8,182,251
1,180.8,183,256
1,168.2,180,245
1,170.3,179,251
1,174.9,192,253
1,172.3,180,247
1,169.5,177,257
1,173.8,182,250
1,171.6,182,256
1,176.6,178,250
1,174.5,191,271
1,174.7,179,252
1,175.2,186,243
1,180.3,191,267
1,173.8,178,245
1,167.7,183,256
1,176.1,194,259
1,171.0,182,250
1,172.0,180,252
1,168.9,182,246
1,178.0,191,267
1,176.2,180,263
1,175.1,185,270
1,180.8,188,264
1,179.5,191,266
1,175.5,190,255
1,177.2,180,263
1,173.7,185,260
1,169.4,176,250
1,173.6,182,247
1,179.7,187,257
1,178.2,186,268
1,181.6,191,268
1,173.1,177,244
1,179.1,189,273
1,177.0,192,262
1,167.6,180,243
1,180.4,202,270
1,169.2,184,250
1,170.9,181,252
1,172.9,192,257
1,175.6,184,258
1,177.5,200,265
1,176.4,180,246
1,171.0,177,237
1,172.6,178,261
1,161.9,175,249
1,176.4,181,249
1,179.4,188,248
1,177.5,189,263
1,166.9,177,234
1,166.7,186,254
1,171.7,177,245
1,174.0,191,259
1,179.0,190,251
0,163.4,163,234
0,163.5,167,236
0,157.4,157,217
0,145.0,152,212
0,159.9,177,234
0,163.0,163,222
0,161.1,165,229
0,164.2,164,227
0,158.4,166,226
0,157.1,160,216
0,162.2,165,221
0,161.0,161,238
0,160.1,169,235
0,160.2,171,224
0,160.0,170,234
0,157.5,158,215
0,169.1,185,252
0,156.3,160,227
0,169.6,163,235
0,155.1,162,228
0,154.8,148,210
0,161.9,170,234
0,163.1,176,239
0,157.4,169,227
0,153.6,157,215
0,162.5,160,232
0,168.9,176,244
0,161.1,166,230
0,156.5,162,217
0,160.1,166,236
0,168.1,180,247
0,161.2,162,219
0,156.0,158,217
0,163.6,169,237
0,165.5,166,234
0,164.7,171,235
0,158.6,172,230
0,150.9,158,217
0,156.1,169,227
0,154.1,158,214
0,171.3,180,251
0,153.4,163,217
0,163.0,172,237
0,163.5,173,237
0,166.5,173,244
0,153.0,151,203
0,159.1,164,220
0,164.7,185,244
0,156.7,164,228
0,166.6,173,239
0,159.3,167,229
0,163.3,162,228
0,156.9,159,219
0,158.3,172,231
0,166.8,174,222
0,163.5,160,221
0,158.6,162,226
0,153.7,166,219
0,153.9,160,227
0,160.8,160,225
0,152.1,166,224
0,169.8,179,238
0,158.4,158,216
0,163.1,168,236
0,172.6,174,235
0,157.4,166,218
0,153.4,158,213
0,168.8,164,231
0,167.2,179,241
0,161.0,162,226
0,167.2,174,250
0,158.3,159,223
0,164.4,177,232
0,163.5,167,229
0,162.0,172,242
0,163.9,177,238
0,162.4,172,229
0,158.7,167,231
0,167.9,165,232
0,166.1,175,238
0,160.8,170,241
0,160.5,169,232
1,176.5,181,256
1,176.0,191,259
1,178.8,190,264
1,182.8,196,260
1,184.2,207,278
1,174.6,177,253
1,168.3,183,243
1,169.0,172,246
1,180.4,186,256
1,174.9,192,265
1,164.6,163,216
1,172.8,178,250
1,167.4,186,246
1,171.7,172,236
1,172.4,174,256
1,170.2,185,247
1,178.1,190,251
1,167.0,186,245
1,162.2,173,239
1,175.9,182,252
1,165.9,174,242
